Customer Name,Season,Business Type,Load Name
load_p1rlv628_1,summer,residential,load_p1rlv628_1
load_p1rlv628_2,summer,residential,load_p1rlv628_2
load_p1rlv629_1,summer,residential,load_p1rlv629_1
load_p1rlv629_2,summer,residential,load_p1rlv629_2
load_p1rlv630_1,summer,residential,load_p1rlv630_1
load_p1rlv630_2,summer,residential,load_p1rlv630_2
load_p1rlv631_1,summer,residential,load_p1rlv631_1
load_p1rlv631_2,summer,residential,load_p1rlv631_2
load_p1rlv632_1,summer,residential,load_p1rlv632_1
load_p1rlv632_2,summer,residential,load_p1rlv632_2
load_p1rlv633_1,summer,residential,load_p1rlv633_1
load_p1rlv633_2,summer,residential,load_p1rlv633_2
load_p1rlv634_1,summer,residential,load_p1rlv634_1
load_p1rlv634_2,summer,residential,load_p1rlv634_2
load_p1rlv635_1,summer,residential,load_p1rlv635_1
load_p1rlv635_2,summer,residential,load_p1rlv635_2
load_p1rlv1459_1,summer,residential,load_p1rlv1459_1
load_p1rlv1459_2,summer,residential,load_p1rlv1459_2
load_p1rlv1460_1,summer,residential,load_p1rlv1460_1
load_p1rlv1460_2,summer,residential,load_p1rlv1460_2
load_p1rlv1461_1,summer,residential,load_p1rlv1461_1
load_p1rlv1461_2,summer,residential,load_p1rlv1461_2
load_p1rlv1462_1,summer,residential,load_p1rlv1462_1
load_p1rlv1462_2,summer,residential,load_p1rlv1462_2
load_p1rlv1463,summer,agriculture,load_p1rlv1463
load_p1rlv1464_1,summer,residential,load_p1rlv1464_1
load_p1rlv1464_2,summer,residential,load_p1rlv1464_2
load_p1rlv1465_1,summer,residential,load_p1rlv1465_1
load_p1rlv1465_2,summer,residential,load_p1rlv1465_2
load_p1rlv1466_1,summer,residential,load_p1rlv1466_1
load_p1rlv1466_2,summer,residential,load_p1rlv1466_2
load_p1rlv1467_1,summer,residential,load_p1rlv1467_1
load_p1rlv1467_2,summer,residential,load_p1rlv1467_2
load_p1rlv1468_1,summer,residential,load_p1rlv1468_1
load_p1rlv1468_2,summer,residential,load_p1rlv1468_2
load_p1rlv1469_1,summer,residential,load_p1rlv1469_1
load_p1rlv1469_2,summer,residential,load_p1rlv1469_2
load_p1rlv1470_1,summer,residential,load_p1rlv1470_1
load_p1rlv1470_2,summer,residential,load_p1rlv1470_2
load_p1rlv1471_1,summer,residential,load_p1rlv1471_1
load_p1rlv1471_2,summer,residential,load_p1rlv1471_2
load_p1rlv1472_1,summer,residential,load_p1rlv1472_1
load_p1rlv1472_2,summer,residential,load_p1rlv1472_2
load_p1rlv1473_1,summer,residential,load_p1rlv1473_1
load_p1rlv1473_2,summer,residential,load_p1rlv1473_2
load_p1rlv1474_1,summer,residential,load_p1rlv1474_1
load_p1rlv1474_2,summer,residential,load_p1rlv1474_2
load_p1rlv1475_1,summer,residential,load_p1rlv1475_1
load_p1rlv1475_2,summer,residential,load_p1rlv1475_2
load_p1rlv1476_1,summer,residential,load_p1rlv1476_1
load_p1rlv1476_2,summer,residential,load_p1rlv1476_2
load_p1rlv1477_1,summer,residential,load_p1rlv1477_1
load_p1rlv1477_2,summer,residential,load_p1rlv1477_2
load_p1rlv1478_1,summer,residential,load_p1rlv1478_1
load_p1rlv1478_2,summer,residential,load_p1rlv1478_2
load_p1rlv1479_1,summer,residential,load_p1rlv1479_1
load_p1rlv1479_2,summer,residential,load_p1rlv1479_2
load_p1rlv1480_1,summer,residential,load_p1rlv1480_1
load_p1rlv1480_2,summer,residential,load_p1rlv1480_2
load_p1rlv1481_1,summer,residential,load_p1rlv1481_1
load_p1rlv1481_2,summer,residential,load_p1rlv1481_2
load_p1rlv1482_1,summer,residential,load_p1rlv1482_1
load_p1rlv1482_2,summer,residential,load_p1rlv1482_2
load_p1rlv1483_1,summer,residential,load_p1rlv1483_1
load_p1rlv1483_2,summer,residential,load_p1rlv1483_2
load_p1rlv1484_1,summer,residential,load_p1rlv1484_1
load_p1rlv1484_2,summer,residential,load_p1rlv1484_2
load_p1rlv1485_1,summer,residential,load_p1rlv1485_1
load_p1rlv1485_2,summer,residential,load_p1rlv1485_2
load_p1rlv1486_1,summer,residential,load_p1rlv1486_1
load_p1rlv1486_2,summer,residential,load_p1rlv1486_2
load_p1rlv1487_1,summer,residential,load_p1rlv1487_1
load_p1rlv1487_2,summer,residential,load_p1rlv1487_2
load_p1rlv1488_1,summer,residential,load_p1rlv1488_1
load_p1rlv1488_2,summer,residential,load_p1rlv1488_2
load_p1rlv1489_1,summer,residential,load_p1rlv1489_1
load_p1rlv1489_2,summer,residential,load_p1rlv1489_2
load_p1rlv1490_1,summer,residential,load_p1rlv1490_1
load_p1rlv1490_2,summer,residential,load_p1rlv1490_2
load_p1rlv1491_1,summer,residential,load_p1rlv1491_1
load_p1rlv1491_2,summer,residential,load_p1rlv1491_2
load_p1rlv1492_1,summer,residential,load_p1rlv1492_1
load_p1rlv1492_2,summer,residential,load_p1rlv1492_2
load_p1rlv1493,summer,agriculture,load_p1rlv1493
load_p1rlv1494_1,summer,residential,load_p1rlv1494_1
