Customer Name,Season,Business Type,Load Name
s701a,summer,residential,s701a
s701b,summer,agriculture,s701b
s701c,summer,agriculture,s701c
s712c,summer,agriculture,s712c
s713c,summer,agriculture,s713c
s714a,summer,agriculture,s714a
s714b,summer,agriculture,s714b
s718a,summer,agriculture,s718a
s720c,summer,agriculture,s720c
s722b,summer,agriculture,s722b
s722c,summer,agriculture,s722c
s724b,summer,agriculture,s724b
s725b,summer,agriculture,s725b
s727c,summer,agriculture,s727c
s728,summer,agriculture,s728
s729a,summer,agriculture,s729a
s730c,summer,agriculture,s730c
s731b,summer,agriculture,s731b
s732c,summer,agriculture,s732c
s733a,summer,agriculture,s733a
s734c,summer,residential,s734c
s735c,summer,agriculture,s735c
s736b,summer,agriculture,s736b
s737a,summer,agriculture,s737a
s738a,summer,agriculture,s738a
s740c,summer,agriculture,s740c
s741c,summer,agriculture,s741c
s742a,summer,agriculture,s742a
s742b,summer,agriculture,s742b
s744a,summer,agriculture,s744a
