Customer Name,Season,Business Type,Load Name
load_1003,summer,residential,load_1003
load_1004,summer,residential,load_1004
load_1005,summer,agriculture,load_1005
load_1008,summer,agriculture,load_1008
load_1009,summer,agriculture,load_1009
load_1010,summer,agriculture,load_1010
load_1011,summer,agriculture,load_1011
load_1012,summer,agriculture,load_1012
load_1013,summer,agriculture,load_1013
load_1014,summer,agriculture,load_1014
load_1015,summer,agriculture,load_1015
load_1016,summer,agriculture,load_1016
load_1017,summer,residential,load_1017
load_2002,summer,agriculture,load_2002
load_2003,summer,agriculture,load_2003
load_2005,summer,agriculture,load_2005
load_2008,summer,agriculture,load_2008
load_2009,summer,agriculture,load_2009
load_2010,summer,agriculture,load_2010
load_2011,summer,agriculture,load_2011
load_2014,summer,agriculture,load_2014
load_2015,summer,agriculture,load_2015
load_2016,summer,agriculture,load_2016
load_2017,summer,agriculture,load_2017
load_2018,summer,agriculture,load_2018
load_2020,summer,agriculture,load_2020
load_2022,summer,agriculture,load_2022
load_2023,summer,agriculture,load_2023
load_2024,summer,agriculture,load_2024
load_2025,summer,agriculture,load_2025
load_2028,summer,agriculture,load_2028
load_2029,summer,agriculture,load_2029
load_2030,summer,agriculture,load_2030
load_2031,summer,agriculture,load_2031
load_2032,summer,agriculture,load_2032
load_2034,summer,agriculture,load_2034
load_2035,summer,agriculture,load_2035
load_2037,summer,agriculture,load_2037
load_2040,summer,agriculture,load_2040
load_2041,summer,agriculture,load_2041
load_2042,summer,agriculture,load_2042
load_2043,summer,agriculture,load_2043
load_2045,summer,agriculture,load_2045
load_2046,summer,agriculture,load_2046
load_2047,summer,agriculture,load_2047
load_2048,summer,agriculture,load_2048
load_2049,summer,agriculture,load_2049
load_2050,summer,agriculture,load_2050
load_2051,summer,agriculture,load_2051
load_2052,summer,agriculture,load_2052
load_2053,summer,agriculture,load_2053
load_2054,summer,agriculture,load_2054
load_2055,summer,agriculture,load_2055
load_2056,summer,agriculture,load_2056
load_2058,summer,agriculture,load_2058
load_2059,summer,agriculture,load_2059
load_2060,summer,agriculture,load_2060
load_3002,summer,agriculture,load_3002
load_3004,summer,agriculture,load_3004
load_3006,summer,agriculture,load_3006
load_3007,summer,agriculture,load_3007
load_3009,summer,agriculture,load_3009
load_3010,summer,agriculture,load_3010
load_3011,summer,agriculture,load_3011
load_3012,summer,agriculture,load_3012
load_3013,summer,agriculture,load_3013
load_3014,summer,agriculture,load_3014
load_3016,summer,agriculture,load_3016
load_3017,summer,agriculture,load_3017
load_3018,summer,agriculture,load_3018
load_3019,summer,agriculture,load_3019
load_3020,summer,agriculture,load_3020
load_3021,summer,agriculture,load_3021
load_3023,summer,agriculture,load_3023
load_3024,summer,agriculture,load_3024
load_3025,summer,agriculture,load_3025
load_3026,summer,agriculture,load_3026
load_3027,summer,agriculture,load_3027
load_3028,summer,agriculture,load_3028
load_3029,summer,agriculture,load_3029
load_3031,summer,agriculture,load_3031
load_3032,summer,agriculture,load_3032
load_3033,summer,agriculture,load_3033
load_3034,summer,agriculture,load_3034
load_3035,summer,agriculture,load_3035
load_3036,summer,agriculture,load_3036
load_3037,summer,agriculture,load_3037
load_3038,summer,agriculture,load_3038
load_3039,summer,agriculture,load_3039
load_3041,summer,agriculture,load_3041
load_3042,summer,agriculture,load_3042
load_3043,summer,agriculture,load_3043
load_3044,summer,agriculture,load_3044
load_3045,summer,agriculture,load_3045
load_3047,summer,agriculture,load_3047
load_3048,summer,agriculture,load_3048
load_3049,summer,agriculture,load_3049
load_3050,summer,agriculture,load_3050
load_3051,summer,agriculture,load_3051
load_3052,summer,agriculture,load_3052
load_3054,summer,agriculture,load_3054
load_3056,summer,agriculture,load_3056
load_3057,summer,agriculture,load_3057
load_3058,summer,agriculture,load_3058
load_3059,summer,agriculture,load_3059
load_3060,summer,agriculture,load_3060
load_3061,summer,agriculture,load_3061
load_3062,summer,agriculture,load_3062
load_3063,summer,agriculture,load_3063
load_3064,summer,agriculture,load_3064
load_3065,summer,agriculture,load_3065
load_3066,summer,agriculture,load_3066
load_3067,summer,agriculture,load_3067
load_3070,summer,agriculture,load_3070
load_3071,summer,agriculture,load_3071
load_3072,summer,agriculture,load_3072
load_3073,summer,agriculture,load_3073
load_3074,summer,agriculture,load_3074
load_3077,summer,agriculture,load_3077
load_3078,summer,agriculture,load_3078
load_3081,summer,agriculture,load_3081
load_3083,summer,agriculture,load_3083
load_3084,summer,agriculture,load_3084
load_3085,summer,agriculture,load_3085
load_3086,summer,agriculture,load_3086
load_3087,summer,agriculture,load_3087
load_3088,summer,agriculture,load_3088
load_3089,summer,agriculture,load_3089
load_3090,summer,agriculture,load_3090
load_3091,summer,agriculture,load_3091
load_3093,summer,agriculture,load_3093
load_3094,summer,agriculture,load_3094
load_3095,summer,agriculture,load_3095
load_3096,summer,agriculture,load_3096
